Time(s),Queue Density
35.3333,0.244737
35.4,0.244464
35.4667,0.243707
35.5333,0.242787
35.6,0.243083
35.6667,0.244367
35.7333,0.244074
35.8,0.244359
35.8667,0.243836
35.9333,0.243337
36,0.243563
36.0667,0.243813
36.1333,0.244948
36.2,0.245533
36.2667,0.245174
36.3333,0.240605
36.4,0.240828
36.4667,0.240067
36.5333,0.240559
36.6,0.239482
36.6667,0.238682
36.7333,0.238104
36.8,0.238487
36.8667,0.238128
36.9333,0.237226
37,0.236883
37.0667,0.237
37.1333,0.236645
37.2,0.236739
37.2667,0.236036
37.3333,0.235486
37.4,0.234998
37.4667,0.234823
37.5333,0.234718
37.6,0.233824
37.6667,0.232665
37.7333,0.231978
37.8,0.232774
37.8667,0.232533
37.9333,0.233231
38,0.229321
38.0667,0.229271
38.1333,0.23087
38.2,0.230671
38.2667,0.233656
38.3333,0.236169
38.4,0.237691
38.4667,0.239372
38.5333,0.24169
38.6,0.242919
38.6667,0.244468
38.7333,0.246681
38.8,0.248265
38.8667,0.250863
38.9333,0.253107
39,0.254176
39.0667,0.255709
39.1333,0.257691
39.2,0.258487
39.2667,0.260099
39.3333,0.261999
39.4,0.262815
39.4667,0.264551
39.5333,0.266264
39.6,0.266908
39.6667,0.270349
39.7333,0.272323
39.8,0.274235
39.8667,0.276167
39.9333,0.278176
40,0.280505
40.0667,0.281418
40.1333,0.282733
40.2,0.283389
40.2667,0.284115
40.3333,0.286225
40.4,0.287891
40.4667,0.291075
40.5333,0.29369
40.6,0.296105
40.6667,0.299683
40.7333,0.302484
40.8,0.303877
40.8667,0.306975
40.9333,0.30973
41,0.311462
41.0667,0.31378
41.1333,0.315376
41.2,0.316609
41.2667,0.317924
41.3333,0.325653
41.4,0.326594
41.4667,0.328743
41.5333,0.330117
41.6,0.331639
41.6667,0.333402
41.7333,0.33483
41.8,0.336278
41.8667,0.338514
41.9333,0.340578
42,0.341709
42.0667,0.344835
42.1333,0.346766
42.2,0.347585
42.2667,0.349489
42.3333,0.350512
42.4,0.351292
42.4667,0.352447
42.5333,0.353399
42.6,0.354078
42.6667,0.354655
42.7333,0.354878
42.8,0.354449
42.8667,0.355085
42.9333,0.354558
43,0.351998
43.0667,0.352638
43.1333,0.35224
43.2,0.35336
43.2667,0.353048
43.3333,0.354406
43.4,0.355514
43.4667,0.357445
43.5333,0.359022
43.6,0.359794
43.6667,0.361214
43.7333,0.362436
43.8,0.362787
43.8667,0.362619
43.9333,0.363158
44,0.363782
44.0667,0.363614
44.1333,0.364351
44.2,0.364937
44.2667,0.365502
44.3333,0.365631
44.4,0.365776
44.4667,0.366478
44.5333,0.366802
44.6,0.367188
44.6667,0.363895
44.7333,0.364289
44.8,0.364929
44.8667,0.364812
44.9333,0.364843
45,0.364863
45.0667,0.36489
45.1333,0.365331
45.2,0.365865
45.2667,0.366142
45.3333,0.366934
45.4,0.367309
45.4667,0.367489
45.5333,0.368043
45.6,0.367871
45.6667,0.368273
45.7333,0.368441
45.8,0.368327
45.8667,0.368222
45.9333,0.368105
46,0.368499
46.0667,0.36791
46.1333,0.368109
46.2,0.368035
46.2667,0.368339
46.3333,0.363907
46.4,0.364578
46.4667,0.365518
46.5333,0.365998
46.6,0.366185
46.6667,0.366088
