Frame No.,Queue Density
31.6,0.180244
31.6667,0.179885
31.7333,0.179971
31.8,0.180525
31.8667,0.180252
31.9333,0.180287
32,0.181473
32.0667,0.181032
32.1333,0.180607
32.2,0.18136
32.2667,0.182082
32.3333,0.182199
32.4,0.183054
32.4667,0.183249
32.5333,0.182929
32.6,0.182425
32.6667,0.182964
32.7333,0.182429
32.8,0.182777
32.8667,0.182734
32.9333,0.180908
33,0.180826
33.0667,0.181083
33.1333,0.18097
33.2,0.181196
33.2667,0.181317
33.3333,0.182355
33.4,0.18623
33.4667,0.189496
33.5333,0.191922
33.6,0.195048
33.6667,0.198017
33.7333,0.199238
33.8,0.201525
33.8667,0.204178
33.9333,0.206254
34,0.209449
34.0667,0.210893
34.1333,0.211732
34.2,0.214432
34.2667,0.21648
34.3333,0.217354
34.4,0.221202
34.4667,0.223082
34.5333,0.224936
34.6,0.231982
34.6667,0.234464
34.7333,0.236403
34.8,0.237741
34.8667,0.239607
34.9333,0.241495
35,0.243239
35.0667,0.244441
35.1333,0.244933
35.2,0.24549
35.2667,0.244851
35.3333,0.244511
35.4,0.24386
35.4667,0.242876
35.5333,0.2432
35.6,0.24446
35.6667,0.244094
35.7333,0.244386
35.8,0.243836
35.8667,0.243465
35.9333,0.243571
36,0.243926
36.0667,0.245073
36.1333,0.245647
36.2,0.245264
36.2667,0.240722
36.3333,0.240918
36.4,0.240215
36.4667,0.24052
36.5333,0.239556
36.6,0.238576
36.6667,0.238171
36.7333,0.238416
36.8,0.238124
36.8667,0.237277
36.9333,0.23691
37,0.23702
37.0667,0.23661
37.1333,0.236805
37.2,0.236114
37.2667,0.235463
37.3333,0.235131
37.4,0.234924
37.4667,0.234491
37.5333,0.233734
37.6,0.232568
37.6667,0.231877
37.7333,0.232681
37.8,0.232451
37.8667,0.232981
37.9333,0.229083
38,0.229271
38.0667,0.230866
38.1333,0.230761
38.2,0.233687
38.2667,0.236251
38.3333,0.237823
38.4,0.239489
38.4667,0.241714
38.5333,0.242931
38.6,0.244488
38.6667,0.246704
38.7333,0.248331
38.8,0.250957
38.8667,0.25322
38.9333,0.254238
39,0.255768
39.0667,0.257762
39.1333,0.258558
39.2,0.260181
39.2667,0.262097
39.3333,0.262935
39.4,0.26473
39.4667,0.266428
39.5333,0.267056
39.6,0.270423
39.6667,0.272421
39.7333,0.274383
39.8,0.276245
39.8667,0.278277
39.9333,0.280658
40,0.281516
40.0667,0.282854
40.1333,0.283463
40.2,0.284181
40.2667,0.286284
40.3333,0.28795
40.4,0.29111
40.4667,0.293756
40.5333,0.296132
40.6,0.299691
40.6667,0.302488
40.7333,0.303905
40.8,0.307104
40.8667,0.309761
40.9333,0.311529
41,0.31385
41.0667,0.315489
41.1333,0.316702
41.2,0.318025
41.2667,0.325825
41.3333,0.32675
41.4,0.328818
41.4667,0.330273
41.5333,0.331764
41.6,0.333558
41.6667,0.334955
41.7333,0.336368
41.8,0.338584
41.8667,0.340664
41.9333,0.341803
42,0.344944
42.0667,0.346848
42.1333,0.347652
42.2,0.349571
42.2667,0.350516
42.3333,0.351315
42.4,0.352502
42.4667,0.353317
42.5333,0.353926
42.6,0.3548
42.6667,0.354979
42.7333,0.354546
42.8,0.355155
42.8667,0.354589
42.9333,0.352158
43,0.352638
43.0667,0.352349
43.1333,0.353516
43.2,0.353032
43.2667,0.354414
43.3333,0.355565
43.4,0.357531
43.4667,0.359166
43.5333,0.359903
43.6,0.361328
43.6667,0.362568
43.7333,0.362966
43.8,0.362818
43.8667,0.363177
43.9333,0.363981
44,0.363797
44.0667,0.364539
44.1333,0.365167
44.2,0.365705
44.2667,0.365854
44.3333,0.365951
44.4,0.366693
44.4667,0.36697
44.5333,0.367364
44.6,0.364152
44.6667,0.364359
44.7333,0.36514
44.8,0.36505
44.8667,0.36489
44.9333,0.365026
45,0.36505
45.0667,0.365424
45.1333,0.366049
45.2,0.366334
45.2667,0.367133
45.3333,0.367469
45.4,0.367734
45.4667,0.368214
45.5333,0.368031
45.6,0.368398
45.6667,0.368507
45.7333,0.36855
45.8,0.368386
45.8667,0.36823
45.9333,0.368624
46,0.368066
46.0667,0.368238
46.1333,0.368105
46.2,0.36848
46.2667,0.363981
46.3333,0.364656
46.4,0.365588
46.4667,0.366018
46.5333,0.366158
46.6,0.366119
46.6667,0.365748
46.7333,0.36569
46.8,0.365721
46.8667,0.365912
46.9333,0.366099
47,0.366224
47.0667,0.365803
47.1333,0.366014
47.2,0.366115
47.2667,0.365936
47.3333,0.366197
47.4,0.366369
47.4667,0.367087
47.5333,0.367426
47.6,0.367137
47.6667,0.367637
47.7333,0.367742
47.8,0.367898
47.8667,0.367617
47.9333,0.364426
48,0.364387
48.0667,0.364976
48.1333,0.365448
48.2,0.365487
48.2667,0.366704
48.3333,0.36734
48.4,0.367278
48.4667,0.366782
48.5333,0.36679
48.6,0.367356
48.6667,0.367184
48.7333,0.367262
48.8,0.366712
48.8667,0.366142
48.9333,0.366084
49,0.365245
49.0667,0.364859
49.1333,0.365003
49.2,0.365151
49.2667,0.365354
49.3333,0.364847
49.4,0.36487
49.4667,0.36466
49.5333,0.364882
49.6,0.359966
49.6667,0.360321
49.7333,0.361121
49.8,0.361398
49.8667,0.36121
49.9333,0.361246
50,0.360368
50.0667,0.360598
50.1333,0.360668
50.2,0.360637
50.2667,0.360489
50.3333,0.360434
50.4,0.360848
50.4667,0.361374
50.5333,0.361374
50.6,0.361445
50.6667,0.361733
50.7333,0.361433
50.8,0.361312
50.8667,0.361105
50.9333,0.360961
51,0.360898
51.0667,0.361066
51.1333,0.361074
51.2,0.361058
51.2667,0.356751
51.3333,0.357008
51.4,0.357199
51.4667,0.357231
51.5333,0.357301
51.6,0.35791
51.6667,0.357925
51.7333,0.358452
51.8,0.358136
51.8667,0.358678
51.9333,0.358733
52,0.359065
52.0667,0.359263
52.1333,0.359517
52.2,0.359794
52.2667,0.359681
52.3333,0.359673
52.4,0.359189
52.4667,0.359217
52.5333,0.359334
52.6,0.360563
52.6667,0.361819
52.7333,0.362264
52.8,0.362689
52.8667,0.364125
52.9333,0.359435
53,0.361066
53.0667,0.363345
53.1333,0.36455
53.2,0.366037
53.2667,0.367769
53.3333,0.368476
53.4,0.369759
53.4667,0.371246
53.5333,0.372069
53.6,0.373478
53.6667,0.373712
53.7333,0.374036
53.8,0.374434
53.8667,0.375476
53.9333,0.376365
54,0.377852
54.0667,0.37974
54.1333,0.3818
54.2,0.385694
54.2667,0.388246
54.3333,0.389975
54.4,0.392499
54.4667,0.394325
54.5333,0.39534
54.6,0.401399
54.6667,0.401649
54.7333,0.402476
54.8,0.403736
54.8667,0.404798
54.9333,0.406144
55,0.407603
55.0667,0.408961
55.1333,0.409975
55.2,0.410237
55.2667,0.411181
55.3333,0.41248
55.4,0.412625
55.4667,0.412898
55.5333,0.412933
55.6,0.413144
55.6667,0.412664
55.7333,0.412777
55.8,0.412976
55.8667,0.413343
55.9333,0.413616
56,0.413983
56.0667,0.414603
56.1333,0.414821
56.2,0.415173
56.2667,0.412418
56.3333,0.412882
56.4,0.413284
56.4667,0.413456
56.5333,0.413116
56.6,0.4133
56.6667,0.413046
56.7333,0.412773
56.8,0.413093
56.8667,0.413054
56.9333,0.413452
57,0.413483
57.0667,0.41346
57.1333,0.413678
57.2,0.413027
