Frame No.,Queue Density
37.8667,0.233016
37.9333,0.229056
38,0.229228
38.0667,0.230847
38.1333,0.230738
38.2,0.233711
38.2667,0.236317
38.3333,0.237812
38.4,0.239568
38.4667,0.241823
38.5333,0.243067
38.6,0.244535
38.6667,0.246743
38.7333,0.248374
38.8,0.250961
38.8667,0.253255
38.9333,0.254316
39,0.255834
39.0667,0.257797
39.1333,0.258632
39.2,0.26029
39.2667,0.262155
39.3333,0.263037
39.4,0.264785
39.4667,0.266455
39.5333,0.267122
39.6,0.270474
39.6667,0.272468
39.7333,0.274415
39.8,0.276229
39.8667,0.278281
39.9333,0.28063
40,0.281532
40.0667,0.282874
40.1333,0.283514
40.2,0.284247
40.2667,0.286385
40.3333,0.28795
40.4,0.291235
40.4667,0.293811
40.5333,0.296195
40.6,0.299757
40.6667,0.302594
40.7333,0.304018
40.8,0.307088
40.8667,0.309796
40.9333,0.311505
41,0.313835
41.0667,0.315512
41.1333,0.316734
41.2,0.318072
41.2667,0.325805
41.3333,0.326715
41.4,0.328794
41.4667,0.330281
41.5333,0.331752
41.6,0.333476
41.6667,0.33492
41.7333,0.336274
41.8,0.338596
41.8667,0.340656
41.9333,0.341768
42,0.344881
42.0667,0.347004
42.1333,0.347671
42.2,0.349443
42.2667,0.350586
42.3333,0.351394
42.4,0.352552
42.4667,0.353461
42.5333,0.354152
42.6,0.354784
42.6667,0.355022
42.7333,0.35457
42.8,0.355174
42.8667,0.354644
42.9333,0.352256
43,0.352818
43.0667,0.352451
43.1333,0.353645
43.2,0.353177
43.2667,0.354613
43.3333,0.355678
43.4,0.357824
43.4667,0.359248
43.5333,0.359978
43.6,0.361437
43.6667,0.362697
43.7333,0.363029
43.8,0.362904
43.8667,0.363411
43.9333,0.364039
44,0.363879
44.0667,0.364668
44.1333,0.365257
44.2,0.365725
44.2667,0.365916
44.3333,0.366041
44.4,0.366716
44.4667,0.36702
44.5333,0.367407
44.6,0.36418
44.6667,0.364348
44.7333,0.365136
44.8,0.364937
44.8667,0.364995
44.9333,0.365175
45,0.36498
45.0667,0.365421
45.1333,0.366018
45.2,0.366256
45.2667,0.36713
45.3333,0.367496
45.4,0.367691
45.4667,0.36823
45.5333,0.368027
45.6,0.368452
45.6667,0.368589
45.7333,0.368441
45.8,0.368503
45.8667,0.368269
45.9333,0.368706
46,0.368128
46.0667,0.368261
46.1333,0.368222
46.2,0.368503
46.2667,0.364219
46.3333,0.364746
46.4,0.365635
46.4667,0.366185
46.5333,0.36631
46.6,0.366158
46.6667,0.365819
46.7333,0.365701
46.8,0.365826
46.8667,0.366021
46.9333,0.366174
47,0.366326
47.0667,0.3659
47.1333,0.366107
47.2,0.366189
47.2667,0.366014
47.3333,0.366228
47.4,0.366478
47.4667,0.367048
47.5333,0.367504
47.6,0.367395
47.6667,0.367652
47.7333,0.367805
47.8,0.367906
47.8667,0.367609
47.9333,0.364332
48,0.364418
48.0667,0.36514
48.1333,0.365639
48.2,0.365698
48.2667,0.366837
48.3333,0.367457
48.4,0.367395
48.4667,0.366849
48.5333,0.366923
48.6,0.367489
48.6667,0.367243
48.7333,0.367379
48.8,0.366853
48.8667,0.366248
48.9333,0.36617
49,0.365405
49.0667,0.364976
49.1333,0.365128
49.2,0.365253
49.2667,0.36546
49.3333,0.364964
49.4,0.365034
49.4667,0.3648
49.5333,0.365034
49.6,0.360075
49.6667,0.360376
49.7333,0.361195
49.8,0.361491
49.8667,0.361261
49.9333,0.361289
50,0.360489
50.0667,0.360699
50.1333,0.360793
50.2,0.36075
50.2667,0.360637
50.3333,0.360555
50.4,0.360945
50.4667,0.361449
50.5333,0.361437
50.6,0.361503
50.6667,0.361768
50.7333,0.36148
50.8,0.36139
50.8667,0.361199
50.9333,0.361039
51,0.360984
51.0667,0.361148
51.1333,0.36116
51.2,0.361129
51.2667,0.356782
51.3333,0.357016
51.4,0.357297
51.4667,0.357316
51.5333,0.357356
51.6,0.357999
51.6667,0.358027
51.7333,0.358553
51.8,0.358198
51.8667,0.358791
51.9333,0.358842
52,0.35924
52.0667,0.359431
52.1333,0.359646
52.2,0.359927
52.2667,0.359818
52.3333,0.359802
52.4,0.359322
52.4667,0.359338
52.5333,0.359439
52.6,0.360676
52.6667,0.361897
52.7333,0.362362
52.8,0.362806
52.8667,0.36427
52.9333,0.359572
53,0.361175
53.0667,0.36347
53.1333,0.364652
53.2,0.366135
53.2667,0.367863
53.3333,0.368604
53.4,0.369939
53.4667,0.371472
53.5333,0.37226
53.6,0.373614
53.6667,0.373856
53.7333,0.374114
53.8,0.374539
53.8667,0.375589
53.9333,0.376467
54,0.377965
54.0667,0.379846
54.1333,0.38189
54.2,0.385776
54.2667,0.388328
54.3333,0.390045
54.4,0.392581
54.4667,0.394411
54.5333,0.395414
54.6,0.401618
54.6667,0.401817
54.7333,0.402659
54.8,0.403904
54.8667,0.404934
54.9333,0.406253
55,0.407728
55.0667,0.409074
55.1333,0.410085
55.2,0.41033
55.2667,0.411318
55.3333,0.412574
55.4,0.41273
55.4667,0.412988
55.5333,0.41307
55.6,0.413304
55.6667,0.412851
55.7333,0.412937
55.8,0.413144
55.8667,0.413514
55.9333,0.41376
56,0.414178
56.0667,0.414739
56.1333,0.41495
56.2,0.415301
56.2667,0.412496
56.3333,0.412933
56.4,0.413386
56.4667,0.413643
56.5333,0.413308
56.6,0.413479
56.6667,0.413245
56.7333,0.412991
